Country Name,Continent,Population,Populationgrowthrate,Country(or dependency),Population(2020),Yearly Change,Net Change,Density Square Km,Land Area Square Km,Migrants(net),FertRate,MedAge,UrbanPop,World Share,Normalised Population
Chile,South America,"17,925,262",0.75,Chile,"19,144,605",87,"164,163.00",26,"743,532.00","111,708.00",1.7,35.00,8500,25,25.75
Kazakhstan,Asia,"18,744,548",0.98,Kazakhstan,"18,815,231",121,"225,280.00",7,"2,699,700.00","-18,000.00",2.8,31.00,5800,24,6.97
Zambia,Africa,"16,445,079",3,Zambia,"18,468,257",293,"522,925.00",25,"743,390.00","-8,000.00",4.7,18.00,4500,24,24.84
Guatemala,North America,"16,581,273",2,Guatemala,"17,971,382",190,"334,096.00",167,"107,160.00","-9,215.00",2.9,23.00,5200,23,167.71
Ecuador,South America,"16,498,502",1,Ecuador,"17,688,599",155,"269,392.00",71,"248,360.00","36,400.00",2.4,28.00,6300,23,71.22
Syria,Asia,"19,454,263",7,Syria,"17,571,053",252,"430,523.00",95,"183,630.00","-427,391.00",2.8,26.00,6000,22,95.69
Netherlands,Europe,"17,151,228",0.38,Netherlands,"17,141,544",22,"37,742.00",508,"33,720.00","16,000.00",1.7,43.00,9200,22,508.35
Senegal,Africa,"15,020,945",2,Senegal,"16,816,539",275,"447,563.00",87,"192,530.00","-20,000.00",4.7,19.00,4900,21,87.35
Cambodia,Asia,"16,449,519",1.48,Cambodia,"16,758,448",141,"232,423.00",95,"176,520.00","-30,000.00",2.5,26.00,2400,21,94.94
Chad,Africa,"15,833,116",3,Chad,"16,502,877",300,"478,988.00",13,"1,259,200.00","2,000.00",5.8,17.00,2300,21,13.11
Zimbabwe,Africa,"14,030,368",1.68,Zimbabwe,"14,899,771.00",148,"217,456.00",38,"386,850.00","-116,858.00",3.6,19.00,3800,19,38.52
Guinea,Africa,"11,855,411",3,Guinea,"13,191,279",283,"361,549.00",53,"245,720.00","-4,000.00",4.7,18.00,3900,17,53.68
Rwanda,Africa,"12,187,400",2.3,Rwanda,"13,005,303",258,"325,268.00",525,"24,670.00","-9,000.00",4.1,20.00,1800,17,527.17
Benin,Africa,"11,340,504",3,Benin,"12,175,480",273,"322,049.00",108,"112,760.00","-2,000.00",4.9,19.00,4800,16,107.98
Burundi,Africa,"11,844,520",3,Burundi,"11,948,454",312,"360,204.00",463,"25,680.00","2,001.00",5.5,17.00,1400,15,465.28
Tunisia,Africa,"11,516,189",1,Tunisia,"11,839,918",106,"123,900.00",76,"155,360.00","-4,000.00",2.2,33.00,7000,15,76.21
Bolivia,South America,"11,306,341",1,Bolivia,"11,700,207",139,"159,921.00",11,"1,083,300.00","-9,504.00",2.8,26.00,6900,15,10.8
Belgium,Europe,"11,570,762",0.67,Belgium,"11,598,451",44,"50,295.00",383,"30,280.00","48,000.00",1.7,42.00,9800,15,383.04
Haiti,North America,"10,788,440",1,Haiti,"11,426,356",124,"139,451.00",414,"27,560.00","-35,000.00",3,24.00,5700,15,414.6
Cuba,North America,"11,116,396",-0.27,Cuba,"11,325,391",-6,"-6,867.00",106,"106,440.00","-14,400.00",1.6,42.00,7800,15,106.4
Greece,Europe,"10,761,523",-0.07,Greece,"10,413,936.00",-48,"-50,401.00",81,"128,900.00","-16,000.00",1.3,46.00,8500,13,80.79
Jordan,Asia,"10,458,413",2,Jordan,"10,220,604",100,"101,440.00",115,"88,780.00","10,220.00",2.8,24.00,9100,13,115.12
Portugal,Europe,"10,355,493",0,Portugal,"10,191,409",-29,"-29,478.00",111,"91,590.00","-6,000.00",1.3,46.00,6600,13,111.27
Azerbaijan,Asia,"10,046,516",1,Azerbaijan,"10,154,978",91,"91,459.00",123,"82,658.00","1,200.00",2.1,32.00,5600,13,122.86
Sweden,Europe,"10,040,995",1,Sweden,"10,110,233",63,"62,886.00",25,"410,340.00","40,000.00",1.9,41.00,8800,13,24.64
Honduras,North America,"9,182,766",2,Honduras,"9,931,333",163,"158,490.00",89,"111,890.00","-6,800.00",2.5,24.00,5700,13,88.76
United Arab Emirates,Asia,"9,701,315",1,United Arab Emirates,"9,910,892",123,"119,873.00",118,"83,600.00","40,000.00",1.4,33.00,8600,13,118.55
Hungary,Europe,"9,825,704",0,Hungary,"9,655,983",-25,"-24,328.00",107,"90,530.00","6,000.00",1.5,43.00,7200,12,106.66
Tajikistan,Asia,"8,604,882",2,Tajikistan,"9,573,310",232,"216,627.00",68,"139,960.00","-20,000.00",3.6,22.00,2700,12,68.4
Belarus,Europe,"9,527,543",0,Belarus,"9,448,772",-3,"-3,088.00",47,"202,910.00","8,730.00",1.7,40.00,7900,12,46.57
Austria,Europe,"8,793,370",0,Austria,"9,015,361",57,"51,296.00",109,"82,409.00","65,000.00",1.5,43.00,5700,12,109.4
Papua New Guinea,North America,"7,027,332",2,Papua New Guinea,"8,975,531",195,"170,915.00",20,"452,860.00",-800,3.6,22.00,1300,11,19.82
Serbia,Europe,"7,078,110",-0.47,Serbia,"8,731,081",-40,"-34,864.00",100,"87,460.00","4,000.00",1.5,42.00,5600,11,99.83
Israel,Asia,"8,424,904",1,Israel,"8,678,517",160,"136,158.00",400,"21,640.00","10,000.00",3,30.00,9300,11,401.04
Switzerland,Europe,"8,292,809",0.68,Switzerland,"8,665,615",74,"63,257.00",219,"39,516.00","52,000.00",1.5,43.00,7400,11,219.29
Togo,Africa,"8,176,449",3,Togo,"8,310,934",243,"196,358.00",152,"54,390.00","-2,000.00",4.4,19.00,4300,11,152.8
Sierra Leone,Africa,"6,312,212",2,Sierra Leone,"8,004,158",210,"163,768.00",111,"72,180.00","-4,200.00",4.3,19.00,4300,10,110.89
Paraguay,South America,"7,025,763",1.17,Paraguay,"7,147,553.00",125,"87,902.00",18,"397,300.00","-16,556.00",2.4,26.00,6200,9,17.99
Bulgaria,Europe,"7,057,504",-0.63,Bulgaria,"6,939,018",-74,"-51,674.00",64,"108,560.00","-4,800.00",1.6,45.00,7600,9,63.92
Libya,Africa,"6,754,507",1,Libya,"6,887,247",138,"93,840.00",4,"1,759,540.00","-1,999.00",2.3,29.00,7800,9,3.91
